,0
2003-08-20,0.030991000000000005
2003-08-21,0.014318600000000003
2003-08-22,0.016392200000000003
2003-08-25,0.003496099999999999
2003-08-26,0.010136599999999999
2003-08-27,0.0161517
2003-08-28,0.020140900000000003
2003-08-29,0.0066831
2003-09-02,0.009776100000000001
2003-09-03,0.016951500000000005
2003-09-04,0.005770500000000002
2003-09-05,0.005840200000000002
2003-09-08,0.025328499999999997
2003-09-09,-0.0023279000000000004
2003-09-10,0.003057299999999997
2003-09-11,0.020772000000000006
2003-09-12,0.032790700000000006
2003-09-15,0.01733
2003-09-16,0.0108965
2003-09-17,-0.0022767000000000004
2003-09-18,0.012114200000000002
2003-09-19,0.004492800000000002
2003-09-22,0.036391599999999996
2003-09-23,-0.000826099999999998
2003-09-24,-0.008257200000000001
2003-09-25,-0.0006329000000000005
2003-09-26,0.0070938999999999985
2003-09-29,0.016755100000000002
2003-09-30,0.029368900000000003
2003-10-01,0.026458300000000004
2003-10-02,0.019373800000000004
2003-10-03,0.028601900000000003
2003-10-06,0.0300532
2003-10-07,0.020160400000000002
2003-10-08,0.011444400000000002
2003-10-09,0.024574900000000004
2003-10-10,0.014732000000000002
2003-10-13,0.0057759000000000005
2003-10-14,0.010486099999999998
2003-10-15,0.013847900000000003
2003-10-16,-0.019510200000000005
2003-10-17,0.005365300000000005
2003-10-20,0.010050699999999997
2003-10-21,0.0076259
2003-10-22,0.010658099999999998
2003-10-23,0.0064465
2003-10-24,0.015468100000000002
2003-10-27,0.0048883999999999985
2003-10-28,-0.005165299999999999
2003-10-29,0.0116933
2003-10-30,0.014705000000000001
2003-10-31,0.0197878
2003-11-03,0.038163
2003-11-04,0.0022286000000000007
2003-11-05,0.0016164000000000022
2003-11-06,0.0006897999999999987
2003-11-07,0.0004818000000000001
2003-11-10,0.0167174
2003-11-11,0.00011110000000000286
2003-11-12,0.031883999999999996
2003-11-13,0.008691000000000003
2003-11-14,-0.002768099999999999
2003-11-17,0.013887199999999999
2003-11-18,-0.0004538000000000005
2003-11-19,0.0088611
2003-11-20,0.0132783
2003-11-21,0.0078437
2003-11-24,0.0340731
2003-11-25,0.0105793
2003-11-26,0.015517300000000001
2003-11-28,0.0060993
2003-12-01,0.0233574
2003-12-02,0.0302848
2003-12-03,0.023576499999999997
2003-12-04,0.010721100000000003
2003-12-05,0.0029575
2003-12-08,0.0016463000000000011
2003-12-09,0.0233206
2003-12-10,0.0008756999999999994
2003-12-11,0.0278611
2003-12-12,0.0137993
2003-12-15,0.038166500000000006
2003-12-16,0.0011613000000000005
2003-12-17,0.0289323
2003-12-18,0.017454
2003-12-19,-0.0073070999999999995
2003-12-22,0.019580100000000003
2003-12-23,0.005211600000000002
2003-12-24,0.011594000000000004
2003-12-26,0.0166387
2003-12-29,0.008783400000000002
2003-12-30,0.012445
2003-12-31,-0.0051632000000000015
2004-01-02,0.020263200000000002
2004-01-05,-0.0334123
2004-01-06,0.030760199999999998
2004-01-07,0.0172846
2004-01-08,0.007212399999999997
2004-01-09,0.014573600000000003
2004-01-12,0.0171361
2004-01-13,0.021656900000000003
2004-01-14,0.024480400000000003
2004-01-15,0.012422899999999999
2004-01-16,0.006341400000000001
2004-01-20,0.011779300000000003
2004-01-21,0.015621200000000002
2004-01-22,-0.001063800000000001
2004-01-23,0.0224419
2004-01-26,0.0033746999999999987
2004-01-27,0.0253625
2004-01-28,-0.0078601
2004-01-29,0.015741699999999997
2004-01-30,0.0257674
2004-02-02,0.0313622
2004-02-03,-0.0021696000000000007
2004-02-04,0.0031066000000000028
2004-02-05,0.0118027
2004-02-06,0.0167965
2004-02-09,0.0146044
2004-02-10,0.00021629999999999826
2004-02-11,0.0071631
2004-02-12,0.012314
2004-02-13,0.010327500000000002
2004-02-17,0.018227100000000003
2004-02-18,0.0180252
2004-02-19,0.007814000000000002
2004-02-20,0.014049200000000001
2004-02-23,0.0209515
2004-02-24,-0.0024151999999999997
2004-02-25,0.011475
2004-04-08,0.014114600000000001
2004-04-12,0.0123417
2004-04-13,0.023094700000000003
2004-04-14,-0.0024038
2004-04-15,0.007296800000000001
2004-04-16,0.007456600000000001
2004-04-19,0.012955500000000003
2004-04-20,-0.005479100000000001
2004-04-21,6.680000000000141e-05
2004-04-22,0.004918800000000001
